,cluster1,cluster2
0,0.28317641526425186,0.25636269412695634
1,0.8933485683554869,0.8811617534756381
2,0.9747096623638238,0.9776552886504535
3,0.8246798867175511,0.864123326468746
4,0.9938993373831332,0.9935884540067641
5,0.012616009859737555,0.013380832312988684
6,0.003604850460853766,0.0037272127258184576
7,0.010002275264667826,0.008787748417011283
8,0.04008266915465951,0.04085481724450877
9,0.0068939215157280374,0.0065538812625929475
10,0.035394057354519025,0.031051913636653657
11,0.035459622810901925,0.03110080610115647
12,0.5049643862742532,0.86017272546676
13,0.6201048365235764,0.8534233291064556
14,0.5480363123736939,0.8810438689491414
15,0.010108531143220278,0.012288722617738617
16,0.8897469338086971,0.9020506534316708
17,0.8024431798890158,0.8326941711897488
